"address","authors","authorsori","booktitle","date","editor","institution","journal","month","note","pages","publisher","tech","title","type","volume","year"
"?","usama m fayyad nicholas weir and d djorgovski skicat","usama m fayyad nicholas weir and d djorgovski skicat","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 112 119","?","?","a machine learning system for automated cataloging of large scale sky surveys","?","?","?"
"?","usama m fayyad nicholas weir and d djorgovski skicat","usama m fayyad nicholas weir and d djorgovski skicat","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 112 119","?","?","a machine learning system for automated cataloging of large scale sky surveys","?","?","?"
"?","usama m fayyad nicholas weir and d djorgovski skicat","usama m fayyad nicholas weir and d djorgovski skicat","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 112 119","?","?","a machine learning system for automated cataloging of large scale sky surveys","?","?","?"
"?","usama m fayyad nicholas weir and d djorgovski skicat","usama m fayyad nicholas weir and d djorgovski skicat","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 112 119","?","?","a machine learning system for automated cataloging of large scale sky surveys","?","?","?"
"?","usama m fayyad nicholas weir and d djorgovski skicat","usama m fayyad nicholas weir and d djorgovski skicat","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 112 119","?","?","a machine learning system for automated cataloging of large scale sky surveys","?","?","?"
"?","usama m fayyad nicholas weir and d djorgovski skicat","usama m fayyad nicholas weir and d djorgovski skicat","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 112 119","?","?","a machine learning system for automated cataloging of large scale sky surveys","?","?","?"
"?","usama m fayyad nicholas weir and d djorgovski skicat","usama m fayyad nicholas weir and d djorgovski skicat","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 112 119","?","?","a machine learning system for automated cataloging of large scale sky surveys","?","?","?"
"?","usama m fayyad nicholas weir and d djorgovski skicat","usama m fayyad nicholas weir and d djorgovski skicat","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 112 119","?","?","a machine learning system for automated cataloging of large scale sky surveys","?","?","?"
"?","huffman s b laird j e","huffman s b laird j e","machine learning proceedings of the tenth international conference","?","in utgoff p ed","?","?","?","?","?","?","?","learning procedures from interactive natural language instructions","?","?","1993"
"?","huffman s b laird j e","huffman s b laird j e","machine learning proceedings of the tenth international conference","?","in utgoff p ed","?","?","?","?","?","?","?","learning procedures from interactive natural language instructions","?","?","1993"
"?","s b huffman and j e laird","s b huffman and j e laird","proceedings of the tenth international conference","?","p utgoff editor","?","?","?","?","?","?","?","learning procedures from interactive natural language instructions in machine learning","?","?","1993"
"?","scott b huffman and john e laird","scott b huffman and john e laird","machine learning proceedings of the tenth international conference","?","in p utgoff editor","?","?","?","?","?","?","?","learning procedures from inter active natural language instructions","?","?","1993"
"?","scott b huffman and john e laird","scott b huffman and john e laird","machine learning proceedings of the tenth international conference","?","in p utgoff editor","?","?","?","?","?","?","?","learning procedures from inter active natural language instructions","?","?","1993"
"?","scott b huffman and john e laird","scott b huffman and john e laird","machine learning proceedings of the tenth international conference","?","in p utgoff editor","?","?","?","?","?","?","?","learning procedures from inter active natural language instructions","?","?","1993"
"?","scott b huffman and john e laird","scott b huffman and john e laird","machine learning proceedings of the tenth international conference","?","in p utgoff editor","?","?","?","?","?","?","?","learning procedures from interactive natural language instructions","?","?","1993"
"?","david s johnson","david s johnson","?","?","?","?","journal of algorithms","?","?","381 395","?","?","the np completeness column an outgoing guide","?","3","1982"
"?","jordan m i jacobs r a","jordan m i jacobs r a","proceedings of the tenth international conference on machine learning","?","in p utgoff ed","?","?","?","?","?","morgan kaufmann","?","supervised learning and divide and conquer a statistical approach","?","?","1993"
"?","m jordan and r jacobs","m jordan and r jacobs","proceedings of the tenth international conference on machine learning","?","in p utgoff editor","?","?","?","?","pages 159 166","morgan kaufmann","?","supervised learning and divide and conquer a statistical approach","?","?","1993"
"san mateo ca","l p kaelbling","l p kaelbling","proceedings of the tenth international conference on machine learning","?","in p e utgoff editor","?","?","?","?","pages 167173","morgan kaufmann","?","hierarchical learning in stochastic domains preliminary results","?","?","1993"
"san mateo ca","l p kaelbling","l p kaelbling","proceedings of the tenth international conference on machine learning","?","in p e utgoff editor","?","?","?","?","pages 167173","morgan kaufmann","?","hierarchical learning in stochastic domains preliminary results","?","?","1993"
"san mateo ca","l p kaelbling","l p kaelbling","proceedings of the tenth international conference on machine learning","?","in p e utgoff editor","?","?","?","?","pages 167173","morgan kaufmann","?","hierarchical learning in stochastic domains preliminary results","?","?","1993"
"?","l p kaelbling","l p kaelbling","proceedings of the tenth international conference on machine learning","?","in paul e utgoff editor","?","?","?","?","?","morgan kaufmann","?","hierarchical learning in stochastic domains preliminary results","?","?","1993"
"?","mccallum r a","mccallum r a","machine learning proceedings of the tenth international conference","?","in utgoff p ed","?","?","?","?","pages 190 196","morgan kaufmann","?","overcoming incomplete perception with utile distinction memory","?","?","1993"
"?","mccallum r a","mccallum r a","machine learning proceedings of the tenth international conference","?","in utgoff p ed","?","?","?","?","pages 190 196","morgan kaufmann","?","overcoming incomplete perception with utile distinction memory","?","?","1993"
"?","mccallum r a","mccallum r a","machine learning proceedings of the tenth international conference","?","in utgoff p ed","?","?","?","?","pages 190 196","morgan kaufmann","?","overcoming incomplete perception with utile distinction memory","?","?","1993"
"san mateo ca","r andrew mccallum","r andrew mccallum","proceedings of the tenth international conference on machine learning","?","in paul e utgoff editor","?","?","?","?","pages 190 196","morgan kaufmann","?","overcoming incomplete perception with utile distinction memory","?","?","1993"
"?","r a mccallum","r a mccallum","machine learning proceedings of the tenth international conference","?","in p utgoff editor","?","?","?","?","pages 190 196","morgan kaufmann","?","overcoming incomplete perception with utile distinction memory","?","?","1993"
"?","r a mccallum","r a mccallum","machine learning proceedings of the tenth international conference","?","in p utgoff editor","?","?","?","?","pages 190 196","morgan kaufmann","?","overcoming incomplete perception with utile distinction memory","?","?","1993"
"?","a mehra z wang and k shin","a mehra z wang and k shin","?","?","?","?","?","?","available at ftp rtcl eecs umich edu outgoing ashish selfparam ps june 1998","?","?","?","self parameterizing protocol stacks for guaranteed quality of service","?","?","?"
"?","a mehra z wang and k shin","a mehra z wang and k shin","?","?","?","?","?","?","available at ftp rtcl eecs umich edu outgoing ashish selfparam ps june 1997 27","?","?","?","self parameterizing protocol stacks for guaranteed quality of service","?","?","?"
"?","a mehra z wang and k shin","a mehra z wang and k shin","?","?","?","?","?","?","available at ftp rtcl eecs umich edu outgoing ashish selfparam ps june 1998 29","?","?","?","self parameterizing protocol stacks for guaranteed quality of service","?","?","?"
"?","a mehra z wang and k shin","a mehra z wang and k shin","?","?","?","?","?","?","available at ftp rtcl eecs umich edu outgoing ashish selfparam ps june 1998 27","?","?","?","self parameterizing protocol stacks for guaranteed quality of service","?","?","?"
"cambridge ca","minton s drummond m bresina j l phillips a b","minton s drummond m bresina j l phillips a b","in proceedings of the third international conference on principles of knowledge representation and reasoning","?","?","?","?","?","?","pp83 92","?","?","total order vs partial order planning factors influencing performance","?","?","1992"
"cambridge ca","minton s drummond m bresina j l phillips a b","minton s drummond m bresina j l phillips a b","in proceedings of the third international conference on principles of knowledge representation and reasoning","?","?","?","?","?","?","pp 83 92","?","?","total order vs partial order planning factors influencing performance","?","?","1992"
"?","t m mitchell p e utgoff b nudel r b","t m mitchell p e utgoff b nudel r b","in proceedings of the seventh international joint conference on ai 127 134 1981","?","?","?","?","?","?","?","?","?","banerji learning problem solving heuristics through practice","?","?","?"
"palo alto california","mitchell t m p e utgoff and r banerji","mitchell t m p e utgoff and r banerji","in machine learning an artificial intelligence approach","?","ed r s michalski j g carbonell and t m mitchell","?","?","?","?","163 190","tioga publishing","?","learning by experimentation acquiring and refining problemsolving heuristics","?","?","1983"
"san mateo ca","mitchell t m utgoff p e banerji r b","mitchell t m utgoff p e banerji r b","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell t m mitchell eds","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","vol i","1983"
"san mateo ca","mitchell t m utgoff p e banerji r b","mitchell t m utgoff p e banerji r b","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell t m mitchell eds","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","vol i","1983"
"san mateo ca","mitchell t m utgoff p banerji r","mitchell t m utgoff p banerji r","machine leaning an artificial intelligence approach","?","in r michalski j carbonell t mitchell eds","?","?","?","?","pp 163 190","m kaufmann","?","1983 learning by experimentation acquiring and refining problem solving heuristics","?","?","?"
"palo alto california","mitchell t utgoff p banerji r","mitchell t utgoff p banerji r","in machine learning an artificial intelligence approach volume i","?","?","?","?","?","?","?","tioga press","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"palo alto california","mitchell t utgoff p banerji r","mitchell t utgoff p banerji r","in machine learning an artificial intelligence approach volume i","?","?","?","?","?","?","?","tioga press","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"palo alto california","mitchell t utgoff p banerji r","mitchell t utgoff p banerji r","in machine learning an artificial intelligence approach","?","?","?","?","?","?","?","tioga press","?","learning by experimentation acquiring and refining problem solving heuristics","?","volume i","1983"
"los altos ca","mitchell t utgoff p e and banerji r","mitchell t utgoff p e and banerji r","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell and t m mitchell eds","?","?","?","?","pp 163 189","morgan kaufmann inc","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"los altos ca","mitchell t utgoff p e and banerji r","mitchell t utgoff p e and banerji r","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell and t m mitchell eds","?","?","?","?","pp 163 189","morgan kaufmann inc","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"palo alto ca","mitchell t utgoff p banerji r","mitchell t utgoff p banerji r","?","?","in michalski r carbonell j mitchell t eds","?","machine learning","?","?","pp 163 190","tioga","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"palo alto ca","mitchell t utgoff p banerji r","mitchell t utgoff p banerji r","?","?","in michalski r carbonell j mitchell t eds","?","machine learning","?","?","pp 163 190","tioga","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"palo alto ca","mitchell t utgoff p banerji r","mitchell t utgoff p banerji r","?","?","in michalski r carbonell j mitchell t eds","?","machine learning","?","?","pp 163 190","tioga","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"palo alto ca","mitchell t utgoff p banerji r","mitchell t utgoff p banerji r","?","?","in michalski r carbonell j mitchell t eds","?","machine learning","?","?","pp 163 190","tioga","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"?","mitchell t utgoff p banerji r","mitchell t utgoff p banerji r","machine learning an artificial intelligence approach","?","in michalski r et al eds","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","vol 1","1983"
"?","mitchell t utgoff p banerji r","mitchell t utgoff p banerji r","machine learning an artificial intelligence approach","?","in michalski r et al eds","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","vol 1","1983"
"?","mitchell t utgoff p and banerji r","mitchell t utgoff p and banerji r","an artificial intelligence approach chapter 6","?","?","?","?","?","?","pp 163 190","springer verlag","?","learning by experimentation acquiring and refining problem solving heuristics in machine learning","?","?","1984"
"palo alto ca","mitchell t utgoff t banerji r","mitchell t utgoff t banerji r","machine learning an artificial intelligence approach","?","in michalski r mitchell t carbonell j eds","?","?","?","?","?","morgan kaufmann","?","learning problem solving heuristics by experimentation","?","?","1983"
"palo alto ca","mitchell t utgoff t banerji r","mitchell t utgoff t banerji r","machine learning an artificial intelligence approach","?","in michalski r mitchell t carbonell j eds","?","?","?","?","?","morgan kaufmann","?","learning problem solving heuristics by experimentation","?","?","1983"
"palo alto ca","mitchell t utgoff t banerji r","mitchell t utgoff t banerji r","machine learning an artificial intelligence approach","?","in michalski r mitchell t carbonell j eds","?","?","?","?","?","morgan kaufmann","?","learning problem solving heuristics by experimentation","?","?","1983"
"palo alto ca","mitchell t utgoff t and banerji r","mitchell t utgoff t and banerji r","machine learning an artificial intelligence approach","?","in michalski r mitchell t and carbonell j editors","?","?","?","?","?","morgan kaufmann","?","learning problem solving heuristics by experimentation","?","?","1983"
"?","mitchell t m utgoff p and banerji r","mitchell t m utgoff p and banerji r","an artificial intelligence approach","?","eds michalski et al","?","?","?","?","?","?","?","learning by experimentation acquiring and refining problem solving heuristics in machine learning","?","?","1983"
"san mateo ca","mitchell t m utgoff p e and banerji r","mitchell t m utgoff p e and banerji r","?","?","mitchell eds r s michalski j g carbonell and t m","?","?","?","?","pp 163 189","morgan kaufman publishers","?","learning by experimentation acquiring and refining problem solving heuristics machine learning an artificial intelligence approach","?","?","1983"
"san mateo ca","mitchell t m utgoff p e and banerji r","mitchell t m utgoff p e and banerji r","?","?","mitchell eds r s michalski j g carbonell and t m","?","?","?","?","pp 163 189","morgan kaufman publishers","?","learning by experimentation acquiring and refining problem solving heuristics machine learning an artificial intelligence approach","?","?","1983"
"san mateo ca","mitchell t m utgoff p e and banerji r","mitchell t m utgoff p e and banerji r","?","?","mitchell eds r s michalski j g carbonell and t m","?","?","?","?","pp 163 189","morgan kaufman publishers","?","learning by experimentation acquiring and refining problem solving heuristics machine learning an artificial intelligence approach","?","?","1983"
"?","mitchell t m utgoff p e and banerji r b","mitchell t m utgoff p e and banerji r b","in machine learning","?","?","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"?","mitchell t m utgoff p e and banerji r b","mitchell t m utgoff p e and banerji r b","?","?","?","?","machine learning","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"?","mitchell t m utgoff p e banerji r","mitchell t m utgoff p e banerji r","?","?","eds michalski carbonell mitchell","?","?","?","?","?","tioga press","?","learning by experimentation acquiring and refining problem solving heuristics in machine learning","?","?","1983"
"?","t mitchell utgoff p and banerji r","t mitchell utgoff p and banerji r","in machine learning an artificial intelligence approach","?","r michalski","?","?","?","?","?","j","?","learning by experimentation acquiring and refining problemsolving heuristics","?","?","?"
"?","t mitchell utgoff p and banerji r","t mitchell utgoff p and banerji r","in machine learning an artificial intelligence approach","?","r michalski","?","?","?","?","?","j","?","learning by experimentation acquiring and refining problemsolving heuristics","?","?","?"
"?","t m mitchell p e utgoff and r b banerji","t m mitchell p e utgoff and r b banerji","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell and t m mitchell editors","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","vol i","1983"
"palo alto ca","tom m mitchell paul e utgoff and ranan banerji","tom m mitchell paul e utgoff and ranan banerji","in machine learning an artificial intelligence approach","?","?","?","?","?","?","pages 163 190","morgan kaufmann","?","learning problem solving heuristics by experimentation","?","?","1983"
"palo alto ca","tom m mitchell paul e utgoff and ranan banerji","tom m mitchell paul e utgoff and ranan banerji","in machine learning an artificial intelligence approach","?","?","?","?","?","?","pages 163 190","morgan kaufmann","?","learning problem solving heuristics by experimentation","?","?","1983"
"palo alto ca","tom mitchell paul utgoff and ranan banerji","tom mitchell paul utgoff and ranan banerji","in machine learning an artificial intelligence approach","?","?","?","?","?","?","?","tioga press","?","learning by experimentation acquiring and refining problem solving heuristics","?","volume i","1983"
"?","mitchell t utgoff p and banerji r","mitchell t utgoff p and banerji r","machine learning an artificial intelligence approach","?","in michalski r and et al eds","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","volume 1","1983"
"palo alto california","mitchell t m utgoff p e and banerji r","mitchell t m utgoff p e and banerji r","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell and t m mitchell eds","?","?","?","?","?","tioga","?","learning by experimentation acquiring and refining problemsolving heuristics","?","?","1983"
"palo alto ca","t m mitchell p e utgoff and r b banerji","t m mitchell p e utgoff and r b banerji","machine learning","?","in j g carbonell r s michalski and t m mitchell editors","?","?","?","?","?","tioga","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"palo alto ca","t mitchell t utgoff and r banerji","t mitchell t utgoff and r banerji","machine learning an artificial intelligence approach","?","in r michalski t mitchell and j carbonell editors","?","?","?","?","?","morgan kaufmann","?","learning problem solving heuristics by experimentation","?","?","1983"
"palo alto ca","t mitchell t utgoff and r banerji","t mitchell t utgoff and r banerji","machine learning an artificial intelligence approach","?","in r michalski t mitchell and j carbonell editors","?","?","?","?","?","morgan kaufmann","?","learning problem solving heuristics by experimentation","?","?","1983"
"?","t m mitchell p e utgoff and r b banerji","t m mitchell p e utgoff and r b banerji","machine learning an artificial intelligence approach","?","in s michalski ryszard g carbonell jaime references 44 and t m mitchell editors","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","volume i","1983"
"?","t m mitchell p e utgoff and r b banerji","t m mitchell p e utgoff and r b banerji","machine learning an artificial intelligence approach","?","in s michalski ryszard g carbonell jaime references 44 and t m mitchell editors","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","volume i","1983"
"palo alto","t m mitchell p e utgoff and r banerji","t m mitchell p e utgoff and r banerji","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell and t m mitchell editors","?","?","?","?","pages 163 190","tioga publishing","?","learning by experimentation acquiring and refining problem solving heuristics","?","volume 1","1983"
"palo alto ca","t m mitchell p utgoff and r banerji","t m mitchell p utgoff and r banerji","machine learning vol","?","in j g carbonell r s michalski and t m mitchell editors","?","?","?","?","?","tioga","?","learning by experimentation acquiring and refining problem solving heuristics","?","1","1983"
"san mateo ca","mitchell t m utgoff p e banerji r b","mitchell t m utgoff p e banerji r b","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell t m mitchell eds","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","vol i","1983"
"?","t m mitchell p e utgoff and r b banerji","t m mitchell p e utgoff and r b banerji","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell and t m mitchell editors","?","?","?","?","?","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","volume 1","1983"
"palo alto ca","mitchell t m utgoff p e and banerji r b","mitchell t m utgoff p e and banerji r b","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell and t m mitchell eds","?","?","?","?","?","tioga press","?","learning by experimentation acquiring and refining problem solving heuristics","?","?","1983"
"palo alto ca","tom m mitchell paul e utgoff and ranan banerji","tom m mitchell paul e utgoff and ranan banerji","in machine 58 learning an artificial intelligence approach","?","michalski ryszard s car bonell jamie g and mitchell tom m eds","?","?","?","?","?","tioga publishing company","?","learning by experimentation acquiring and refining problem solving heuristics","?","volume i","1983"
"los altos california","t m mitchell p e utgoff and r banerji","t m mitchell p e utgoff and r banerji","machine learning an artificial intelligence approach","?","in r s michalski j g carbonell and t m mitchell editors","?","?","?","?","pages 163 190","morgan kaufmann","?","learning by experimentation acquiring and refining problem solving heuristics","?","vol 1","1983"
"los altos ca","mitchell t m","mitchell t m","proceedings of ijcai 83","?","?","?","?","?","?","1139 1151","morgan kaufmann","?","learning and problem solving","?","?","1983"
"?","tom m mitchell paul e utgoff and ranan banerji","tom m mitchell paul e utgoff and ranan banerji","?","?","in michalski et al","?","?","?","?","pages 163 190","?","?","learning by experimentation acquiring and refining problem solving heuristics","?","30","?"
"?","tom m mitchaell and paul e utgoff","tom m mitchaell and paul e utgoff","in shavlik and dietterich","?","?","?","?","?","?","pages 510 522","?","?","learning by experimentation acquiring and refining problem solving heuristics","?","17","?"
"?","tom m mitchaell and paul e utgoff","tom m mitchaell and paul e utgoff","in shavlik and dietterich","?","?","?","?","?","?","pages 510 522","?","?","learning by experimentation acquiring and refining problem solving heuristics","?","17","?"
"san mateo ca","mitchell t and thrun s","mitchell t and thrun s","in proceedings of the tenth international conference on machine learning","?","p utgoff ed","?","?","?","http www informatik uni bonn de thrun mitchell ebl ml93 ps z","?","morgan kaufmann","?","explanation based learning a comparison of symbolic and neural network approaches","?","?","1993"
"san mateo ca","tom m mitchell and sebastian thrun","tom m mitchell and sebastian thrun","proceedings of the tenth international conference on machine learning","?","in paul e utgoff editor","?","?","?","?","pages 197 204","morgan kaufmann","?","explanation based learning a comparison of symbolic and neural network approaches","?","?","1993"
"san mateo ca","tom m mitchell and sebastian thrun","tom m mitchell and sebastian thrun","proceedings of the tenth international conference on machine learning","?","in paul e utgoff editor","?","?","?","?","pages 197 204","morgan kaufmann","?","explanation based learning a comparison of symbolic and neural network approaches","?","?","1993"
"san mateo ca","tom m mitchell and sebastian thrun","tom m mitchell and sebastian thrun","proceedings of the tenth international conference on machine learning","?","in paul e utgoff editor","?","?","?","?","pages 197 204","morgan kaufmann","?","explanation based learning a comparison of symbolic and neural network approaches","?","?","1993"
"san mateo ca","tom m mitchell and sebastian thrun","tom m mitchell and sebastian thrun","proceedings of the tenth international conference on machine learning","?","in paul e utgoff editor","?","?","?","?","pages 197 204","morgan kaufmann","?","explanation based learning a comparison of symbolic and neural network approaches","?","?","1993"
"san mateo ca","tom m mitchell and sebastian thrun","tom m mitchell and sebastian thrun","proceedings of the tenth international conference on machine learning","?","in paul e utgoff editor","?","?","?","?","pages 197 204","morgan kaufmann","?","explanation based learning a comparison of symbolic and neural network approaches","?","?","1993"
"?","dunja mladenic","dunja mladenic","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 205 211","?","?","combinatorial optimization in inductive concept learning","?","?","?"
"?","dunja mladenic","dunja mladenic","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 205 211","?","?","combinatorial optimization in inductive concept learning","?","?","?"
"?","dunja mladenic","dunja mladenic","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 205 211","?","?","combinatorial optimization in inductive concept learning","?","?","?"
"?","dunja mladenic","dunja mladenic","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 205 211","?","?","combinatorial optimization in inductive concept learning","?","?","?"
"?","dunja mladenic","dunja mladenic","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 205 211","?","?","combinatorial optimization in inductive concept learning","?","?","?"
"?","dunja mladenic","dunja mladenic","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 205 211","?","?","combinatorial optimization in inductive concept learning","?","?","?"
"?","dunja mladenic","dunja mladenic","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 205 211","?","?","combinatorial optimization in inductive concept learning","?","?","?"
"?","dunja mladenic","dunja mladenic","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 205 211","?","?","combinatorial optimization in inductive concept learning","?","?","?"
"?","dunja mladenic","dunja mladenic","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 205 211","?","?","combinatorial optimization in inductive concept learning","?","?","?"
"san mateo ca","mladenic d","mladenic d","in machine learning proceedings of the tenth international conference","?","p e utgoff ed","?","?","?","?","pp 205 211","morgan kaufmann pubishers","?","combinatorial optimization in inductive concept learning","?","?","1993"
"?","moss e cavazos j stefanovic d utgoff p precup d scheeff d brodley c","moss e cavazos j stefanovic d utgoff p precup d scheeff d brodley c","?","?","?","?","?","?","submitted for publication","?","?","?","learning policies for local instruction scheduling","?","?","1997"
"san francisco ca","musick r catlett j russell s","musick r catlett j russell s","proceedings of the tenth international conference on machine learning","?","in utgoff p e ed","?","?","?","?","pp 212 219","morgan kaufmann","?","decision theoretic subsampling for induction on large databases","?","?","1992"
"?","r musick jason catlett and s russell","r musick jason catlett and s russell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 212 219","?","?","decision theoretic subsampling for induction on large databases","?","?","?"
"?","r musick jason catlett and s russell","r musick jason catlett and s russell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 212 219","?","?","decision theoretic subsampling for induction on large databases","?","?","?"
"?","r musick jason catlett and s russell","r musick jason catlett and s russell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 212 219","?","?","decision theoretic subsampling for induction on large databases","?","?","?"
"?","r musick jason catlett and s russell","r musick jason catlett and s russell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 212 219","?","?","decision theoretic subsampling for induction on large databases","?","?","?"
"?","r musick jason catlett and s russell","r musick jason catlett and s russell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 212 219","?","?","decision theoretic subsampling for induction on large databases","?","?","?"
"?","r musick jason catlett and s russell","r musick jason catlett and s russell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 212 219","?","?","decision theoretic subsampling for induction on large databases","?","?","?"
"?","r musick jason catlett and s russell","r musick jason catlett and s russell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 212 219","?","?","decision theoretic subsampling for induction on large databases","?","?","?"
"?","r musick jason catlett and s russell","r musick jason catlett and s russell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 212 219","?","?","decision theoretic subsampling for induction on large databases","?","?","?"
"?","r musick jason catlett and s russell","r musick jason catlett and s russell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 212 219","?","?","decision theoretic subsampling for induction on large databases","?","?","?"
"san mateo","j r","j r","proc ml 93","?","ed p e utgoff","?","?","?","?","?","morgan kaufmann","?","quinlan 1993 combining instance based and model based learning","?","?","?"
"san francisco ca","quinlan j r","quinlan j r","proc int conf on mach learn","?","in utgoff p e ed","?","?","?","?","?","morgan kaufmann","?","combining instance based and model based learning","?","?","1993b"
"san mateo ca","quinlan j r","quinlan j r","proceedings of the machine learning conference 93","?","in p e utgoff editor","?","?","?","?","?","morgan kaufmann","?","combining instance based and model based learning","?","?","1993"
"?","john ross quinlan","john ross quinlan","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 236 243","?","?","combining instance based and model based learning","?","?","?"
"?","john ross quinlan","john ross quinlan","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 236 243","?","?","combining instance based and model based learning","?","?","?"
"?","john ross quinlan","john ross quinlan","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 236 243","?","?","combining instance based and model based learning","?","?","?"
"?","john ross quinlan","john ross quinlan","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 236 243","?","?","combining instance based and model based learning","?","?","?"
"?","john ross quinlan","john ross quinlan","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 236 243","?","?","combining instance based and model based learning","?","?","?"
"?","john ross quinlan","john ross quinlan","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 236 243","?","?","combining instance based and model based learning","?","?","?"
"?","john ross quinlan","john ross quinlan","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 236 243","?","?","combining instance based and model based learning","?","?","?"
"?","john ross quinlan","john ross quinlan","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 236 243","?","?","combining instance based and model based learning","?","?","?"
"?","john ross quinlan","john ross quinlan","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 236 243","?","?","combining instance based and model based learning","?","?","?"
"san mateo","quinlan j r","quinlan j r","proceedings of the 10th international conference on machine learning","?","in utgoff p e editor","?","?","?","?","?","morgan kaufmann","?","combining instance based and model based learn ing","?","?","1993b"
"san mateo","quinlan j r","quinlan j r","proceedings of the 10th international conference on machine learning","?","in utgoff p e editor","?","?","?","?","?","morgan kaufmann","?","combining instance based and model based learning","?","?","1993b"
"amherst ma","ragavan h rendell l","ragavan h rendell l","machine learning proceedings of the tenth international conference","?","in utgoff p e ed mlc 93","university of massachusetts","?","?","?","pp 252 259","morgan kaufmann publishers inc","?","lookahead feature construction for learning hard concepts","?","?","1993"
"?","harish ragavan and larry rendell","harish ragavan and larry rendell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 252 259","?","?","lookahead feature construction for learning hard concepts","?","?","?"
"?","harish ragavan and larry rendell","harish ragavan and larry rendell","in ml 93","?","editor paul e utgoff","?","?","?","?","pages 252 259","?","?","lookahead feature construction for learning hard concepts","?","?","?"
